Epoch,Loss,Time
0,0.116,0.13547062873840332
1,0.116,0.16037464141845703
2,0.116,0.17787837982177734
3,0.116,0.19371461868286133
4,0.115,0.21018457412719727
5,0.116,0.23005199432373047
6,0.115,0.24445772171020508
7,0.115,0.2655913829803467
8,0.115,0.28525209426879883
9,0.115,0.30258822441101074
10,0.115,0.3205447196960449
11,0.115,0.33708810806274414
12,0.115,0.35349035263061523
13,0.115,0.373089075088501
14,0.114,0.38689732551574707
15,0.114,0.4055299758911133
16,0.115,0.42016053199768066
17,0.115,0.4397125244140625
18,0.114,0.4522736072540283
19,0.114,0.5146212577819824
21,0.114,0.5621931552886963
22,0.114,0.5873422622680664
23,0.114,0.602177619934082
24,0.113,0.6195652484893799
25,0.114,0.6396019458770752
26,0.114,0.6588339805603027
27,0.114,0.6798784732818604
28,0.113,0.6941969394683838
29,0.113,0.7098572254180908
30,0.114,0.729912519454956
31,0.113,0.7451803684234619
32,0.113,0.7673304080963135
33,0.114,0.7895326614379883
34,0.113,0.8006796836853027
35,0.113,0.8194577693939209
37,0.113,0.8557555675506592
38,0.113,0.8770573139190674
39,0.113,0.8949596881866455
40,0.113,0.9116544723510742
41,0.113,0.9265718460083008
42,0.113,0.9442765712738037
43,0.113,0.9594976902008057
44,0.113,0.9796175956726074
45,0.112,0.9917852878570557
46,0.112,1.0098624229431152
47,0.112,1.0294270515441895
48,0.112,1.0394673347473145
49,0.112,1.0694737434387207
50,0.112,1.0896918773651123
51,0.112,1.108719825744629
52,0.112,1.124568223953247
53,0.112,1.1438374519348145
54,0.112,1.1644401550292969
55,0.112,1.1836144924163818
56,0.112,1.199385404586792
57,0.111,1.2198054790496826
58,0.111,1.23716139793396
59,0.112,1.250091791152954
60,0.112,1.2701518535614014
61,0.111,1.2913033962249756
62,0.111,1.314509391784668
63,0.111,1.3332936763763428
64,0.111,1.357703685760498
65,0.111,1.379345178604126
66,0.111,1.3983325958251953
67,0.111,1.4096758365631104
68,0.111,1.4294843673706055
69,0.110,1.4416966438293457
70,0.111,1.4694843292236328
71,0.111,1.4850428104400635
72,0.111,1.501507043838501
73,0.111,1.5143404006958008
74,0.110,1.5294592380523682
75,0.110,1.5923571586608887
76,0.110,1.6194679737091064
78,0.110,1.651097297668457
79,0.110,1.6696417331695557
80,0.110,1.6893184185028076
81,0.110,1.7095704078674316
82,0.110,1.7297422885894775
83,0.110,1.7416865825653076
84,0.110,1.7595055103302002
85,0.110,1.77406644821167
86,0.109,1.7896385192871094
87,0.109,1.809823989868164
88,0.110,1.8309056758880615
89,0.110,1.8501007556915283
90,0.110,1.8697164058685303
91,0.109,1.8832762241363525
92,0.109,1.899488925933838
93,0.109,1.9203896522521973
94,0.109,1.9362280368804932
95,0.109,1.9495673179626465
96,0.109,1.9596498012542725
97,0.109,1.979546070098877
98,0.109,1.9993855953216553
99,0.109,2.023773431777954
100,0.109,2.0451157093048096
101,0.109,2.066542148590088
102,0.109,2.0822668075561523
103,0.108,2.1005489826202393
104,0.108,2.116929769515991
105,0.108,2.132758140563965
106,0.108,2.150538921356201
107,0.108,2.1694681644439697
108,0.108,2.1816275119781494
109,0.108,2.1996662616729736
110,0.108,2.2194578647613525
111,0.108,2.240077018737793
112,0.108,2.2612178325653076
113,0.108,2.279799222946167
114,0.107,2.2997655868530273
115,0.107,2.314979076385498
116,0.108,2.332347869873047
117,0.108,2.344486951828003
118,0.107,2.3648593425750732
119,0.107,2.384150743484497
120,0.108,2.399461030960083
121,0.107,2.419546365737915
122,0.107,2.4797298908233643
123,0.108,2.499826669692993
124,0.107,2.5228822231292725
125,0.107,2.541781425476074
126,0.107,2.5596320629119873
127,0.107,2.574667453765869
128,0.107,2.5897421836853027
129,0.107,2.6094703674316406
130,0.107,2.6309971809387207
131,0.107,2.6501317024230957
132,0.107,2.664316177368164
133,0.106,2.67950439453125
134,0.106,2.692923069000244
135,0.106,2.7142133712768555
136,0.106,2.7306463718414307
137,0.106,2.749479293823242
138,0.106,2.7694592475891113
139,0.106,2.7823445796966553
140,0.106,2.7996864318847656
141,0.106,2.8097596168518066
142,0.106,2.8309130668640137
143,0.106,2.855588912963867
144,0.106,2.8752448558807373
145,0.106,2.8971245288848877
146,0.105,2.922071933746338
147,0.105,2.9388248920440674
148,0.106,2.956207513809204
149,0.105,2.969449996948242
150,0.105,2.989413022994995
151,0.105,3.013571262359619
152,0.105,3.0347042083740234
153,0.105,3.059938430786133
154,0.105,3.0754635334014893
155,0.105,3.089573621749878
156,0.105,3.113746166229248
157,0.105,3.1335034370422363
158,0.105,3.1517295837402344
159,0.105,3.1655921936035156
160,0.105,3.1813344955444336
161,0.105,3.189650297164917
162,0.105,3.2133567333221436
163,0.104,3.234799861907959
164,0.104,3.259514093399048
165,0.104,3.279726028442383
166,0.104,3.294813871383667
168,0.104,3.3315622806549072
169,0.104,3.3504247665405273
170,0.104,3.3711953163146973
171,0.104,3.3815510272979736
172,0.104,3.399634838104248
173,0.104,3.4094724655151367
174,0.104,3.431680679321289
175,0.104,3.454591989517212
176,0.104,3.4788196086883545
178,0.104,3.5096426010131836
179,0.103,3.5294504165649414
180,0.104,3.549779176712036
181,0.103,3.6097326278686523
182,0.103,3.634850263595581
183,0.103,3.650840997695923
184,0.103,3.670820951461792
185,0.103,3.6894888877868652
186,0.103,3.7137975692749023
187,0.103,3.7305996417999268
188,0.103,3.749722480773926
189,0.103,3.7631750106811523
190,0.103,3.779496908187866
191,0.103,3.7947022914886475
192,0.103,3.8124125003814697
193,0.102,3.829411029815674
194,0.102,3.849630832672119
195,0.102,3.8695931434631348
196,0.103,3.888533115386963
197,0.103,3.89958119392395
198,0.102,3.9224560260772705
199,0.102,3.941690444946289
200,0.102,3.963494062423706
201,0.102,3.979614496231079
202,0.102,3.9996423721313477
203,0.102,4.015243768692017
204,0.102,4.036686658859253
205,0.102,4.053534984588623
206,0.102,4.080485105514526
207,0.102,4.099560976028442
208,0.101,4.112754583358765
